step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,4.12738,2.78531,-1,4.12738,2673,3405,-1,2673,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n36),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(nginx,n28),(mariadb,n28),(busybox,n13),(memcached,n13),(nginx,n13),(mariadb,n13),(memcached,n36)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n36),(mariadb,n108)"
1,4.10286,86.50045,65.14446,69.24732,3651,4248,-1,3651,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n28),(mariadb,n28),(nginx,n36)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n27),(busybox,n28),(memcached,n28),(nginx,n28),(mariadb,n28),(busybox,n13),(memcached,n13),(nginx,n13),(mariadb,n13),(memcached,n25),(nginx,n25),(mariadb,n25)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n28),(mariadb,n28),(nginx,n36)"
2,4.7018,2.30558,4.78644,4.78644,4101,4104,4101,4101,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n18),(nginx,n3),(nginx,n107),(mariadb,n36),(mariadb,n65)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(memcached,n18),(nginx,n18),(mariadb,n18)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n18),(nginx,n18),(mariadb,n18)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n18),(nginx,n18),(mariadb,n18)"
3,3.73967,95.279,65.28507,69.02474000000001,4190,-1,-1,4190,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n13),(memcached,n107),(nginx,n65),(mariadb,n65)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n13),(memcached,n107),(nginx,n65),(mariadb,n65)"
4,3.70854,1.31177,0.61206,0.61206,2743,2744,3887,3887,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n27),(memcached,n3),(nginx,n3),(mariadb,n3)","(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(nginx,n65),(mariadb,n65)","(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(nginx,n65),(mariadb,n65)"
5,4.82232,95.28135,65.27378,70.0961,4903,-1,-1,4903,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n107),(nginx,n107),(mariadb,n107)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n107),(nginx,n107),(mariadb,n107)"
6,3.50595,95.27635,65.31659,68.82254,5239,-1,-1,5239,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n12),(memcached,n13),(memcached,n113),(nginx,n113),(mariadb,n113)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n12),(memcached,n13),(memcached,n113),(nginx,n113),(mariadb,n113)"
7,2.91845,5.25571,4.64123,4.64123,3826,4002,5574,5574,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n13),(memcached,n107),(nginx,n107),(mariadb,n107),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(nginx,n27),(mariadb,n27),(memcached,n107),(nginx,n107),(mariadb,n107),(memcached,n13)","(mariadb,n113),(memcached,n113),(nginx,n113),(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n27),(memcached,n3),(nginx,n3),(memcached,n12),(memcached,n13)","(mariadb,n113),(memcached,n113),(nginx,n113),(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n27),(memcached,n3),(nginx,n3),(memcached,n12),(memcached,n13)"
8,3.55649,95.2851,65.28023,68.83672,4618,-1,-1,4618,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n107),(nginx,n107),(mariadb,n107)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n107),(nginx,n107),(mariadb,n107)"
9,4.12793,2.07524,5.87321,5.87321,3310,3310,3310,3310,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(mariadb,n3),(memcached,n110),(mariadb,n110),(nginx,n35),(nginx,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n13),(memcached,n13),(nginx,n13),(mariadb,n13),(memcached,n108),(nginx,n108),(mariadb,n108)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n108),(nginx,n108),(mariadb,n108),(memcached,n13),(nginx,n13),(mariadb,n13)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n108),(nginx,n108),(mariadb,n108),(memcached,n13),(nginx,n13),(mariadb,n13)"
10,3.14043,16.63973,65.27737,68.4178,3108,3661,-1,3108,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2),(memcached,n73),(nginx,n52),(mariadb,n42)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(busybox,n27),(nginx,n27),(mariadb,n27),(memcached,n2),(memcached,n52),(nginx,n108),(mariadb,n108)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n2),(memcached,n73),(nginx,n52),(mariadb,n42)"
11,4.60133,4.3355,9.62381,9.62381,3525,5640,5640,5640,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n42),(nginx,n73),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n27),(nginx,n27),(mariadb,n27),(memcached,n6),(nginx,n6),(mariadb,n6)","(nginx,n6),(mariadb,n6),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n27),(mariadb,n27),(memcached,n2),(memcached,n73)","(nginx,n6),(mariadb,n6),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n1),(nginx,n27),(mariadb,n27),(memcached,n2),(memcached,n73)"
12,4.80395,3.29168,6.89445,6.89445,3425,5480,5480,5480,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(mariadb,n110),(nginx,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(busybox,n27),(memcached,n27),(nginx,n27),(mariadb,n27),(memcached,n6),(nginx,n6),(mariadb,n6)","(memcached,n6),(nginx,n6),(mariadb,n6),(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n27),(nginx,n27),(mariadb,n27)","(memcached,n6),(nginx,n6),(mariadb,n6),(memcached,n1),(busybox,n1),(nginx,n1),(mariadb,n1),(memcached,n27),(nginx,n27),(mariadb,n27)"
13,3.3855,1.72488,2.52824,2.52824,2696,2696,2696,2696,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n27),(memcached,n3),(nginx,n3),(mariadb,n3)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n3),(nginx,n3),(mariadb,n3)","(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n1),(memcached,n3),(nginx,n3),(mariadb,n3)"
14,4.02508,95.26258,65.30105,69.32613,3380,-1,-1,3380,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n13),(memcached,n42),(nginx,n42),(mariadb,n108)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n13),(memcached,n42),(nginx,n42),(mariadb,n108)"
15,4.15398,2.30575,2.92015,2.92015,3220,4508,4148,4148,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n42),(nginx,n52),(mariadb,n52)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(memcached,n2),(nginx,n2),(mariadb,n2)","(memcached,n2),(mariadb,n2),(memcached,n1),(mariadb,n1),(busybox,n1),(nginx,n1),(nginx,n3),(nginx,n42)","(memcached,n2),(mariadb,n2),(memcached,n1),(mariadb,n1),(busybox,n1),(nginx,n1),(nginx,n3),(nginx,n42)"
16,4.29897,1.53692,2.44161,2.44161,3090,3090,3090,3090,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n3),(nginx,n3),(mariadb,n3)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n28),(memcached,n3),(nginx,n3),(mariadb,n3)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n28),(memcached,n3),(nginx,n3),(mariadb,n3)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n28),(memcached,n3),(nginx,n3),(mariadb,n3)"
17,3.15906,13.49058,65.32278,68.48183999999999,2935,2935,-1,2935,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n108),(nginx,n110),(mariadb,n110)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n27),(busybox,n28),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n108),(nginx,n108),(mariadb,n108)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n108),(nginx,n110),(mariadb,n110)"
18,3.50063,14.36574,65.25303,68.75366,3070,3070,-1,3070,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(nginx,n110),(mariadb,n110)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n13),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n108),(nginx,n108),(mariadb,n108)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(nginx,n110),(mariadb,n110)"
19,3.79232,3.51149,2.44078,2.44078,3005,4207,3363,3363,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(nginx,n108),(mariadb,n49)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(memcached,n2),(nginx,n2),(mariadb,n2)","(busybox,n1),(nginx,n1),(memcached,n1),(mariadb,n1),(busybox,n13),(nginx,n2),(memcached,n3),(mariadb,n3),(memcached,n110),(mariadb,n110)","(busybox,n1),(nginx,n1),(memcached,n1),(mariadb,n1),(busybox,n13),(nginx,n2),(memcached,n3),(mariadb,n3),(memcached,n110),(mariadb,n110)"
20,4.46023,6.13497,65.35099,69.81121999999999,2915,4081,-1,2915,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(nginx,n110),(mariadb,n110)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n13),(memcached,n13),(nginx,n13),(mariadb,n13),(memcached,n50),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n110),(nginx,n110),(mariadb,n110)"
21,6.25402,7.39489,65.3432,71.59722,3336,3892,-1,3336,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n62),(busybox,n64),(busybox,n65),(busybox,n99),(busybox,n111),(busybox,n125),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n110),(nginx,n3),(mariadb,n3),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(memcached,n13),(nginx,n13),(mariadb,n13),(busybox,n28),(memcached,n50),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n62),(busybox,n64),(busybox,n65),(busybox,n99),(busybox,n111),(busybox,n125),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n110),(nginx,n3),(mariadb,n3),(mariadb,n108)"
22,6.50782,10.67427,65.30002,71.80784,3306,3857,-1,3306,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n108),(mariadb,n108),(mariadb,n15)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n50),(nginx,n50),(mariadb,n50),(memcached,n13),(nginx,n13),(mariadb,n13)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n108),(mariadb,n108),(mariadb,n15)"
23,10.89025,26.79085,65.3261,76.21634999999999,3246,3787,-1,3246,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n58),(busybox,n62),(busybox,n65),(busybox,n66),(busybox,n93),(busybox,n126),(busybox,n127),(memcached,n12),(mariadb,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n15),(nginx,n108),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n32),(memcached,n12),(nginx,n50),(mariadb,n50),(nginx,n13),(mariadb,n13)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n58),(busybox,n62),(busybox,n65),(busybox,n66),(busybox,n93),(busybox,n126),(busybox,n127),(memcached,n12),(mariadb,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n15),(nginx,n108),(mariadb,n108)"
24,3.01935,8.77492,65.32905,68.3484,3228,3228,-1,3228,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n15),(memcached,n30),(mariadb,n30),(nginx,n3),(mariadb,n3),(nginx,n31)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n30),(nginx,n30),(mariadb,n30),(memcached,n13),(nginx,n13),(mariadb,n13)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n15),(memcached,n30),(mariadb,n30),(nginx,n3),(mariadb,n3),(nginx,n31)"
25,6.69094,9.93097,65.32047,72.01141,3162,3689,-1,3162,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n3),(nginx,n3),(mariadb,n3),(busybox,n8),(busybox,n15),(busybox,n29),(busybox,n31),(busybox,n32),(busybox,n45),(memcached,n13),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n108),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n32),(memcached,n13),(nginx,n13),(mariadb,n13),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n3),(nginx,n3),(mariadb,n3),(busybox,n8),(busybox,n15),(busybox,n29),(busybox,n31),(busybox,n32),(busybox,n45),(memcached,n13),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n108),(mariadb,n108)"
26,3.51683,2.34558,4.72313,4.72313,2869,3003,3003,3003,"(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n27),(memcached,n41),(nginx,n36),(mariadb,n36)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n27),(memcached,n41),(nginx,n36),(mariadb,n36)","(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(busybox,n27),(memcached,n41),(nginx,n36),(mariadb,n36)"
27,4.9667,4.75464,65.34641,70.31311000000001,2831,3780,-1,2831,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(memcached,n110),(nginx,n110),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(memcached,n28),(busybox,n27),(nginx,n27),(mariadb,n27),(memcached,n32),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(memcached,n110),(nginx,n110),(mariadb,n108)"
28,7.15347,95.26655,65.33876,72.49222999999999,4022,-1,-1,4022,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n32),(busybox,n33),(busybox,n62),(busybox,n63),(busybox,n64),(busybox,n87),(busybox,n89),(memcached,n2),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(memcached,n108),(nginx,n108),(mariadb,n108),(nginx,n3),(mariadb,n3)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n32),(busybox,n33),(busybox,n62),(busybox,n63),(busybox,n64),(busybox,n87),(busybox,n89),(memcached,n2),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(memcached,n108),(nginx,n108),(mariadb,n108),(nginx,n3),(mariadb,n3)"
29,3.45315,40.61412,65.32655,68.77969999999999,3576,4718,-1,3576,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n14),(nginx,n14),(mariadb,n14),(memcached,n15),(memcached,n108),(nginx,n108),(mariadb,n108)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n2),(memcached,n107),(nginx,n16),(mariadb,n16),(nginx,n108),(mariadb,n108)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n14),(nginx,n14),(mariadb,n14),(memcached,n15),(memcached,n108),(nginx,n108),(mariadb,n108)"
30,24.4674,21.31899,65.33031,89.79771,3619,3619,-1,3619,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n124),(memcached,n12),(memcached,n30),(memcached,n110),(nginx,n15),(nginx,n50),(mariadb,n50),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(nginx,n13),(mariadb,n13),(busybox,n27),(memcached,n32),(memcached,n12),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n124),(memcached,n12),(memcached,n30),(memcached,n110),(nginx,n15),(nginx,n50),(mariadb,n50),(mariadb,n3)"
31,10.34131,95.30113,65.33722,75.67853,3149,-1,-1,3149,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n61),(busybox,n64),(busybox,n66),(busybox,n87),(busybox,n88),(busybox,n99),(memcached,n13),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(mariadb,n108),(memcached,n123),(nginx,n3),(mariadb,n3),(nginx,n110)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n61),(busybox,n64),(busybox,n66),(busybox,n87),(busybox,n88),(busybox,n99),(memcached,n13),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(mariadb,n108),(memcached,n123),(nginx,n3),(mariadb,n3),(nginx,n110)"
32,5.04942,95.22657,65.28338,70.33279999999999,3058,-1,-1,3058,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n17),(busybox,n33),(busybox,n34),(busybox,n35),(busybox,n53),(busybox,n54),(busybox,n55),(memcached,n3),(mariadb,n3),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(mariadb,n110),(memcached,n123),(nginx,n13),(nginx,n108)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n17),(busybox,n33),(busybox,n34),(busybox,n35),(busybox,n53),(busybox,n54),(busybox,n55),(memcached,n3),(mariadb,n3),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(mariadb,n110),(memcached,n123),(nginx,n13),(nginx,n108)"
33,5.05502,21.31217,65.27358,70.3286,3054,3563,-1,3054,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n31),(busybox,n67),(busybox,n101),(busybox,n119),(busybox,n122),(busybox,n126),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n13),(nginx,n108),(mariadb,n108),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n13),(nginx,n13),(mariadb,n13),(busybox,n27),(memcached,n32),(memcached,n12),(nginx,n50),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n31),(busybox,n67),(busybox,n101),(busybox,n119),(busybox,n122),(busybox,n126),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(nginx,n13),(nginx,n108),(mariadb,n108),(mariadb,n3)"
34,5.61692,85.44387,65.26892,70.88584,3198,4522,-1,3198,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n64),(busybox,n67),(busybox,n123),(busybox,n124),(busybox,n125),(busybox,n126),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(mariadb,n108),(nginx,n3),(mariadb,n3),(nginx,n49)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n27),(busybox,n13),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n41),(nginx,n36),(mariadb,n36)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n64),(busybox,n67),(busybox,n123),(busybox,n124),(busybox,n125),(busybox,n126),(busybox,n127),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(mariadb,n108),(nginx,n3),(mariadb,n3),(nginx,n49)"
35,4.86145,95.19279,65.26325,70.1247,3301,-1,-1,3301,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n18),(busybox,n104),(busybox,n108),(memcached,n108),(nginx,n108),(mariadb,n108),(busybox,n109),(busybox,n115),(busybox,n119),(busybox,n121),(memcached,n15),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(nginx,n3),(mariadb,n3)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n18),(busybox,n104),(busybox,n108),(memcached,n108),(nginx,n108),(mariadb,n108),(busybox,n109),(busybox,n115),(busybox,n119),(busybox,n121),(memcached,n15),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n67),(nginx,n3),(mariadb,n3)"
36,8.74516,16.46515,65.27783,74.02299,3042,3549,-1,3042,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n12),(nginx,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(mariadb,n110),(nginx,n108),(mariadb,n3)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n14),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n32),(nginx,n32),(memcached,n12),(mariadb,n50)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n12),(nginx,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(mariadb,n110),(nginx,n108),(mariadb,n3)"
37,12.39722,95.30995,65.29761,77.69483000000001,3470,-1,-1,3470,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n16),(busybox,n120),(busybox,n122),(busybox,n124),(busybox,n125),(busybox,n126),(memcached,n2),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(memcached,n123),(nginx,n13),(mariadb,n13),(nginx,n108),(mariadb,n108)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n8),(busybox,n16),(busybox,n120),(busybox,n122),(busybox,n124),(busybox,n125),(busybox,n126),(memcached,n2),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n110),(memcached,n123),(nginx,n13),(mariadb,n13),(nginx,n108),(mariadb,n108)"
38,5.61176,95.29168,65.31121,70.92297,3512,-1,-1,3512,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n3),(mariadb,n3),(busybox,n4),(busybox,n61),(busybox,n109),(busybox,n111),(busybox,n123),(busybox,n124),(memcached,n2),(memcached,n12),(nginx,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n110),(mariadb,n110)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n3),(mariadb,n3),(busybox,n4),(busybox,n61),(busybox,n109),(busybox,n111),(busybox,n123),(busybox,n124),(memcached,n2),(memcached,n12),(nginx,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(memcached,n108),(nginx,n110),(mariadb,n110)"
39,2.93931,10.16673,65.23868,68.17799000000001,2460,2720,-1,2460,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(nginx,n13),(mariadb,n15)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n28),(busybox,n27),(memcached,n41),(memcached,n13),(nginx,n13),(mariadb,n13),(nginx,n36),(mariadb,n36)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(memcached,n12),(memcached,n36),(nginx,n36),(mariadb,n36),(nginx,n13),(mariadb,n15)"
